order_id,return_reason,refund_amount,refund_status
1,Size Issue,4486.41,Refunded
2,Changed Mind,1372.01,Refunded
4,Late Delivery,2388.45,Pending
13,Size Issue,4259.38,Pending
14,Late Delivery,2129.04,Pending
16,Poor Quality,1630.83,Rejected
19,Poor Quality,2176.97,Refunded
23,Damaged Product,1604.45,Pending
30,Poor Quality,3166.29,Refunded
51,Damaged Product,2106.82,Rejected
58,Size Issue,668.77,Rejected
62,Late Delivery,4459.51,Refunded
69,Changed Mind,1171.45,Rejected
72,Changed Mind,4376.68,Rejected
75,Wrong Item Delivered,3903.25,Refunded
80,Size Issue,4009.92,Rejected
82,Damaged Product,2097.47,Refunded
90,Size Issue,4921.77,Refunded
102,Damaged Product,3999.86,Rejected
103,Changed Mind,323.62,Pending
105,Size Issue,2036.64,Refunded
111,Poor Quality,4853.06,Refunded
112,Poor Quality,3240.1,Refunded
133,Late Delivery,810.41,Refunded
136,Poor Quality,753.4,Rejected
148,Changed Mind,1037.25,Pending
152,Poor Quality,825.26,Pending
160,Poor Quality,1320.24,Pending
162,Wrong Item Delivered,3655.65,Rejected
164,Size Issue,1953.18,Pending
165,Size Issue,2416.23,Refunded
170,Damaged Product,226.09,Refunded
180,Damaged Product,2885.79,Refunded
188,Wrong Item Delivered,4991.34,Pending
192,Wrong Item Delivered,2139.58,Refunded
193,Wrong Item Delivered,4941.16,Rejected
196,Size Issue,2852.58,Pending
197,Changed Mind,3078.25,Pending
204,Wrong Item Delivered,3834.73,Refunded
219,Late Delivery,4690.13,Pending
221,Wrong Item Delivered,216.19,Pending
229,Late Delivery,3830.7,Rejected
233,Changed Mind,1907.4,Pending
236,Damaged Product,1553.75,Rejected
245,Late Delivery,3304.43,Rejected
279,Wrong Item Delivered,1184.7,Rejected
285,Wrong Item Delivered,3305.4,Refunded
287,Late Delivery,484,Refunded
294,Changed Mind,461.88,Pending
300,Changed Mind,4040.96,Refunded
315,Late Delivery,1871.42,Pending
317,Late Delivery,4111.94,Refunded
319,Poor Quality,1626.31,Refunded
325,Changed Mind,565.1,Refunded
340,Size Issue,2508.77,Pending
374,Size Issue,4019.71,Pending
384,Size Issue,4428.87,Pending
389,Wrong Item Delivered,2195.37,Rejected
394,Late Delivery,2850.35,Refunded
399,Size Issue,881.79,Rejected
401,Damaged Product,244.33,Refunded
413,Changed Mind,3226.15,Pending
419,Damaged Product,1997.33,Refunded
428,Size Issue,3714.6,Rejected
433,Damaged Product,4074.76,Rejected
438,Changed Mind,3653.27,Rejected
451,Late Delivery,4720.9,Refunded
457,Size Issue,1435.27,Rejected
465,Poor Quality,1435.69,Pending
481,Late Delivery,941.48,Refunded
490,Late Delivery,4256.84,Pending
492,Wrong Item Delivered,4573.02,Pending
499,Poor Quality,3117.18,Refunded
500,Wrong Item Delivered,4943.15,Pending
515,Size Issue,4746.67,Refunded
516,Wrong Item Delivered,3777.83,Pending
528,Late Delivery,2533.46,Pending
532,Wrong Item Delivered,571.8,Refunded
541,Size Issue,4359.33,Pending
550,Poor Quality,3751.11,Rejected
579,Poor Quality,2006.41,Refunded
593,Changed Mind,3197.5,Refunded
598,Size Issue,3038.05,Refunded
604,Size Issue,2372.85,Pending
613,Poor Quality,4327.17,Pending
615,Size Issue,3139.14,Rejected
617,Wrong Item Delivered,4751.64,Rejected
624,Wrong Item Delivered,671.1,Pending
627,Poor Quality,775.48,Pending
655,Poor Quality,3539.26,Refunded
656,Damaged Product,220.09,Refunded
658,Wrong Item Delivered,2288.54,Rejected
663,Wrong Item Delivered,4991.24,Pending
672,Wrong Item Delivered,501.88,Pending
681,Damaged Product,4648.11,Rejected
683,Damaged Product,4490.94,Rejected
686,Size Issue,1223.74,Pending
690,Late Delivery,977.04,Refunded
719,Wrong Item Delivered,4077.13,Pending
752,Damaged Product,2885.65,Refunded
754,Damaged Product,3601.15,Pending
760,Late Delivery,4522.32,Pending
764,Size Issue,181.95,Pending
769,Damaged Product,4394.43,Rejected
771,Damaged Product,3047.01,Refunded
773,Changed Mind,4039.29,Refunded
797,Late Delivery,4214.8,Pending
798,Changed Mind,2010.09,Rejected
818,Poor Quality,1777.81,Pending
829,Late Delivery,2287.5,Rejected
839,Damaged Product,2362.83,Refunded
844,Wrong Item Delivered,202.86,Pending
871,Changed Mind,3922.01,Pending
900,Size Issue,2872.63,Pending
902,Changed Mind,3053.14,Rejected
924,Poor Quality,643,Pending
928,Changed Mind,3173.38,Pending
934,Poor Quality,1477.48,Refunded
942,Changed Mind,4824.99,Refunded
950,Late Delivery,206.98,Refunded
955,Wrong Item Delivered,3880.27,Refunded
983,Poor Quality,2140.6,Refunded
993,Poor Quality,3073.97,Rejected
997,Poor Quality,3624.75,Pending
1002,Changed Mind,4053.3,Rejected
1015,Size Issue,790.8,Refunded
1016,Damaged Product,195.36,Rejected
1021,Size Issue,3839.86,Rejected
1024,Late Delivery,1256.15,Pending
1038,Changed Mind,4341.61,Pending
1040,Poor Quality,4068.21,Rejected
1046,Poor Quality,3277.35,Pending
1049,Size Issue,2913,Rejected
1050,Changed Mind,2919.03,Pending
1052,Late Delivery,4905.03,Refunded
1057,Size Issue,2869.59,Rejected
1061,Poor Quality,4118.29,Rejected
1062,Poor Quality,1921.48,Refunded
1092,Size Issue,1342.05,Pending
1094,Wrong Item Delivered,192.42,Refunded
1096,Wrong Item Delivered,331.09,Rejected
1098,Poor Quality,703.28,Rejected
1102,Changed Mind,1287.84,Refunded
1111,Poor Quality,1329.58,Pending
1113,Damaged Product,2552.15,Rejected
1115,Damaged Product,4412.91,Rejected
1117,Size Issue,928.09,Rejected
1136,Wrong Item Delivered,1283.45,Rejected
1137,Damaged Product,2889.81,Refunded
1139,Damaged Product,1946.96,Pending
1144,Size Issue,1235.8,Refunded
1150,Poor Quality,784.45,Pending
1160,Late Delivery,4253.1,Pending
1168,Size Issue,3485.11,Rejected
1176,Damaged Product,1068.03,Refunded
1177,Changed Mind,806.29,Rejected
1181,Size Issue,4128.22,Pending
1187,Size Issue,2809.88,Pending
1198,Late Delivery,1322.61,Pending
1207,Damaged Product,3648.05,Refunded
1213,Damaged Product,704.04,Pending
1215,Late Delivery,4891.28,Rejected
1230,Size Issue,3502.78,Pending
1239,Damaged Product,1818.82,Rejected
1247,Damaged Product,1724.93,Rejected
1251,Damaged Product,843.93,Rejected
1266,Late Delivery,2789.11,Pending
1280,Poor Quality,4035.47,Refunded
1293,Size Issue,3010.86,Pending
1295,Late Delivery,2790.68,Rejected
1315,Size Issue,3665.51,Refunded
1320,Size Issue,3988.01,Rejected
1332,Wrong Item Delivered,1824.1,Refunded
1338,Size Issue,960.34,Refunded
1344,Changed Mind,3696.08,Refunded
1345,Wrong Item Delivered,3819.32,Rejected
1353,Damaged Product,2391.6,Pending
1359,Changed Mind,628.08,Rejected
1361,Poor Quality,3742.12,Refunded
1389,Size Issue,3378.34,Pending
1418,Size Issue,4772.68,Rejected
1421,Late Delivery,3345.82,Pending
1422,Changed Mind,1240.69,Pending
1423,Size Issue,1841.65,Refunded
1433,Wrong Item Delivered,3253.39,Pending
1435,Late Delivery,257.53,Refunded
1446,Poor Quality,1716.13,Pending
1449,Poor Quality,2650.22,Pending
1451,Poor Quality,4937.32,Rejected
1452,Size Issue,4831.52,Rejected
1459,Poor Quality,3201.44,Pending
1470,Damaged Product,2966.43,Rejected
1487,Changed Mind,1713.27,Rejected
1488,Changed Mind,4775.35,Rejected
1496,Size Issue,3163.17,Refunded
1497,Late Delivery,3253,Refunded
1503,Changed Mind,2784.61,Rejected
1505,Changed Mind,4889.48,Rejected
1515,Late Delivery,4930.61,Rejected
1519,Wrong Item Delivered,3099.99,Rejected
1535,Size Issue,2102.32,Rejected
1539,Late Delivery,1139.85,Refunded
1546,Late Delivery,304.86,Refunded
1553,Size Issue,3381.87,Rejected
1579,Wrong Item Delivered,2043.79,Rejected
1597,Size Issue,3920.73,Pending
1598,Damaged Product,4189.15,Refunded
1605,Poor Quality,4664.41,Rejected
1609,Poor Quality,3440.1,Pending
1611,Wrong Item Delivered,2305.55,Pending
1617,Late Delivery,766.16,Pending
1619,Late Delivery,557.78,Pending
1645,Late Delivery,1999.52,Refunded
1655,Wrong Item Delivered,1467.33,Pending
1657,Size Issue,1814.27,Refunded
1674,Damaged Product,1406.14,Pending
1680,Poor Quality,2603.95,Rejected
1682,Late Delivery,1905.07,Pending
1686,Size Issue,2966.04,Refunded
1702,Changed Mind,1902.91,Rejected
1705,Late Delivery,802.47,Rejected
1707,Late Delivery,1600.32,Pending
1708,Changed Mind,665.37,Refunded
1720,Size Issue,2219.45,Refunded
1726,Late Delivery,4935.53,Pending
1727,Damaged Product,4527.58,Rejected
1731,Changed Mind,1559.3,Rejected
1733,Size Issue,4216.26,Refunded
1735,Damaged Product,4439.2,Pending
1743,Damaged Product,323.67,Pending
1746,Late Delivery,1504.71,Refunded
1750,Poor Quality,4314.7,Rejected
1756,Late Delivery,4046.92,Refunded
1760,Size Issue,1154.86,Refunded
1763,Poor Quality,3784.63,Pending
1764,Size Issue,169.66,Refunded
1768,Late Delivery,2993.53,Rejected
1777,Poor Quality,1601.99,Pending
1788,Damaged Product,3433.38,Refunded
1793,Damaged Product,3322.95,Rejected
1810,Poor Quality,271.14,Pending
1815,Poor Quality,4918.63,Rejected
1817,Damaged Product,406.06,Refunded
1818,Changed Mind,1116.84,Pending
1820,Late Delivery,4184.11,Rejected
1830,Changed Mind,2066.26,Rejected
1864,Changed Mind,4982.78,Pending
1866,Poor Quality,748.9,Refunded
1870,Size Issue,1124.05,Pending
1880,Damaged Product,3242.16,Pending
1891,Changed Mind,1818.89,Refunded
1897,Changed Mind,256.37,Pending
1941,Size Issue,1543.04,Pending
1951,Poor Quality,930.81,Refunded
1956,Damaged Product,4702.62,Pending
1958,Size Issue,534.01,Rejected
1961,Late Delivery,1087.54,Pending
1967,Changed Mind,3200.62,Refunded
1978,Wrong Item Delivered,1990.89,Pending
1983,Late Delivery,2276.2,Pending
1990,Poor Quality,2320.99,Pending
1991,Poor Quality,2795.23,Pending
1999,Poor Quality,3579.41,Refunded
2004,Damaged Product,1945.32,Refunded
2026,Changed Mind,2686.63,Refunded
2065,Changed Mind,3494.48,Rejected
2068,Wrong Item Delivered,1440.47,Rejected
2074,Size Issue,1460.2,Rejected
2087,Wrong Item Delivered,3211.29,Pending
2114,Wrong Item Delivered,2375.03,Rejected
2115,Damaged Product,861.03,Pending
2125,Wrong Item Delivered,996.56,Pending
2141,Wrong Item Delivered,3410.36,Rejected
2147,Late Delivery,1204.29,Refunded
2153,Late Delivery,4570.06,Refunded
2160,Changed Mind,2599.95,Pending
2171,Late Delivery,4000.31,Refunded
2172,Wrong Item Delivered,804.76,Rejected
2180,Wrong Item Delivered,3332.8,Pending
2181,Late Delivery,1526.93,Rejected
2182,Wrong Item Delivered,870.21,Refunded
2198,Damaged Product,625.98,Pending
2230,Late Delivery,498.01,Refunded
2242,Size Issue,3072.41,Rejected
2273,Changed Mind,263.58,Rejected
2280,Wrong Item Delivered,2074.26,Pending
2293,Poor Quality,4273.6,Refunded
2295,Poor Quality,2517.71,Rejected
2308,Size Issue,599.01,Refunded
2310,Damaged Product,3228.15,Refunded
2321,Changed Mind,419.54,Rejected
2325,Size Issue,1573.71,Rejected
2335,Wrong Item Delivered,2869.23,Rejected
2351,Poor Quality,396.45,Refunded
2357,Damaged Product,4566.46,Pending
2369,Size Issue,4053.85,Rejected
2393,Wrong Item Delivered,2861.29,Rejected
2395,Late Delivery,2437.53,Pending
2411,Late Delivery,4266.13,Pending
2417,Wrong Item Delivered,4675.14,Refunded
2437,Changed Mind,4311.61,Rejected
2458,Changed Mind,3577.37,Rejected
2469,Damaged Product,1829.95,Rejected
2477,Size Issue,2721.95,Pending
2480,Late Delivery,2172.84,Pending
2492,Wrong Item Delivered,2133.81,Pending
2494,Changed Mind,3471.59,Rejected
2496,Size Issue,467.75,Pending
2498,Wrong Item Delivered,3501.15,Rejected
2500,Late Delivery,4419.51,Rejected
2506,Changed Mind,2305.64,Rejected
2508,Size Issue,780.04,Rejected
2518,Changed Mind,4094.46,Rejected
2525,Wrong Item Delivered,4470.59,Rejected
2538,Damaged Product,1137.95,Pending
2547,Changed Mind,2594.76,Rejected
2549,Changed Mind,4224.22,Rejected
2562,Wrong Item Delivered,1565.2,Rejected
2566,Damaged Product,922.81,Refunded
2590,Late Delivery,3792.69,Pending
2619,Changed Mind,3915.75,Pending
2630,Late Delivery,250.01,Refunded
2631,Late Delivery,4092.64,Pending
2651,Late Delivery,1008.75,Rejected
2676,Damaged Product,2143.67,Pending
2684,Poor Quality,183.46,Refunded
2688,Size Issue,888.85,Refunded
2690,Changed Mind,1147.64,Refunded
2694,Damaged Product,1570.51,Pending
2705,Size Issue,3864.6,Pending
2713,Changed Mind,3170.23,Rejected
2726,Changed Mind,3753.15,Pending
2728,Damaged Product,4517.1,Refunded
2738,Poor Quality,2957.28,Rejected
2746,Size Issue,2115.59,Rejected
2751,Size Issue,4561.91,Pending
